researcher,unidad_academica,CENTRO,ZONA,id_scholar,h_index,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
MARIA DEL PILAR ROMERO LOZADA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",PALMIRA,CENTRO SUR,NA,NA,Integrante,3,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001525089,PRODUCCION SOSTENIBLE,2013-04-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,6
SHIRLEY ANDREA RODRIGUEZ ESPINOSA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",PALMIRA,CENTRO SUR,NA,NA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001498925,PRODUCCION SOSTENIBLE,2011-02-01, Actual,Maestría/Magister,Sin clasificar,2,1,0,0,0,14
SIXTO ENRIQUE CAMPANA BASTIDAS,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",PASTO,CENTRO SUR,NA,NA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000782173,DAVINCI,2006-02-01, Actual,Doctorado,Investigador Junior (IJ),9,8,2,2,0,10
EDNA ROCIO BERNAL MONROY,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001359812,DAVINCI,2016-02-01, Actual,Maestría/Magister,Sin clasificar,2,1,0,0,0,0
ALBEIRO CUESTA MESA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,14,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000147800,DAVINCI,2020-08-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
ALVARO JOSE CERVELION BASTIDAS,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",PASTO,CENTRO SUR,NA,NA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000058766,DAVINCI,2017-01-01, Actual,Maestría/Magister,Sin clasificar,1,1,1,0,0,0
ANDRES ALEJANDRO DIAZ TORO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",PASTO,CENTRO SUR,NA,NA,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001278002,DAVINCI,2019-08-01, Actual,Doctorado,Sin clasificar,3,0,0,1,0,0
CARLOS EDUARDO OTERO MURILLO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",DUITAMA,CENTRO BOYACA,NA,NA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001441764,DAVINCI,2020-02-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
CARMEN ADRIANA AGUIRRE CABRERA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",PASTO,CENTRO SUR,NA,NA,Integrante,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000533807,DAVINCI,2010-11-01, Actual,Maestría/Magister,Sin clasificar,3,2,4,0,0,0
EDGAR ROBERTO DULCE VILLARREAL,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",PASTO,CENTRO SUR,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001566083,DAVINCI,2020-06-01, Actual,Maestría/Magister,Sin clasificar,0,1,0,0,0,0
